IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.17.162.241,1,1,0.00,165.20,0.00
104.16.206.5,1,1,0.00,165.20,0.00
104.16.202.64,1,1,0.00,165.24,0.00
104.18.10.100,1,1,0.00,165.38,0.00
104.17.148.39,1,1,0.00,165.39,0.00
104.17.246.53,1,1,0.00,165.40,0.00
104.17.138.103,1,1,0.00,165.41,0.00
104.17.50.137,1,1,0.00,165.41,0.00
104.17.122.210,1,1,0.00,165.44,0.00
104.16.200.242,1,1,0.00,165.53,0.00
104.16.207.249,1,1,0.00,165.56,0.00
104.17.254.235,1,1,0.00,165.66,0.00
104.19.189.113,1,1,0.00,165.69,0.00
104.17.240.253,1,1,0.00,165.71,0.00
104.16.39.51,1,1,0.00,165.97,0.00
104.19.182.236,1,1,0.00,165.98,0.00
104.17.255.77,1,1,0.00,165.98,0.00
104.17.145.25,1,1,0.00,166.01,0.00
104.17.173.189,1,1,0.00,166.05,0.00
104.17.53.209,1,1,0.00,166.06,0.00
104.18.98.47,1,1,0.00,166.11,0.00
104.16.229.207,1,1,0.00,166.15,0.00
104.17.77.111,1,1,0.00,166.17,0.00
104.17.52.176,1,1,0.00,166.18,0.00
104.16.102.71,1,1,0.00,166.19,0.00
104.17.140.151,1,1,0.00,166.23,0.00
104.17.233.104,1,1,0.00,166.23,0.00
104.16.43.98,1,1,0.00,166.23,0.00
104.17.82.115,1,1,0.00,166.25,0.00
104.17.176.176,1,1,0.00,166.31,0.00
104.17.45.5,1,1,0.00,166.32,0.00
104.16.182.198,1,1,0.00,166.34,0.00
104.19.14.176,1,1,0.00,166.42,0.00
104.16.191.106,1,1,0.00,166.46,0.00
104.16.78.97,1,1,0.00,166.47,0.00
104.17.15.61,1,1,0.00,166.52,0.00
104.17.237.148,1,1,0.00,166.56,0.00
104.19.42.240,1,1,0.00,166.63,0.00
104.17.81.118,1,1,0.00,166.64,0.00
104.16.189.197,1,1,0.00,166.65,0.00
172.64.91.83,1,1,0.00,166.71,0.00
104.17.56.70,1,1,0.00,166.78,0.00
198.41.205.197,1,1,0.00,166.81,0.00
104.31.16.171,1,1,0.00,166.82,0.00
104.16.178.95,1,1,0.00,166.91,0.00
172.65.248.248,1,1,0.00,166.92,0.00
172.64.88.147,1,1,0.00,166.93,0.00
104.16.51.20,1,1,0.00,166.95,0.00
173.245.58.28,1,1,0.00,166.95,0.00
104.17.107.159,1,1,0.00,166.97,0.00
172.64.82.190,1,1,0.00,166.99,0.00
172.64.53.133,1,1,0.00,166.99,0.00
104.17.16.27,1,1,0.00,167.00,0.00
172.64.90.92,1,1,0.00,167.01,0.00
172.66.45.116,1,1,0.00,167.03,0.00
104.17.103.143,1,1,0.00,167.05,0.00
104.16.0.154,1,1,0.00,167.05,0.00
104.17.153.171,1,1,0.00,167.06,0.00
172.65.240.20,1,1,0.00,167.08,0.00
104.19.163.107,1,1,0.00,167.10,0.00
104.17.104.175,1,1,0.00,167.11,0.00
104.18.101.235,1,1,0.00,167.11,0.00
104.18.100.123,1,1,0.00,167.13,0.00
172.64.84.214,1,1,0.00,167.16,0.00
172.64.147.244,1,1,0.00,167.17,0.00
104.19.24.230,1,1,0.00,167.20,0.00
